0,1,2,3,4,5,6
457.33,628.70,"1,086.03",-116.51,"2,841.46","2,724.95",13-Jun-2008
293.05,501.59,794.64,-547.84,"2,845.52","2,297.68",16-Jun-2008
420.08,588.13,"1,008.21",142.36,"2,320.84","2,463.20",17-Jun-2008
193.64,598.23,791.87,-435.00,"2,906.36","2,471.36",18-Jun-2008
141.07,539.32,680.39,-598.36,"2,254.46","1,656.10",19-Jun-2008
563.86,567.44,"1,131.30",-999.31,"3,450.27","2,450.96",20-Jun-2008
91.75,672.88,764.63,-665.56,"2,928.35","2,262.79",23-Jun-2008
475.94,579.92,"1,055.86",90.06,"3,277.29","3,367.35",24-Jun-2008
529.87,795.94,"1,325.81",-363.71,"3,110.01","2,746.30",25-Jun-2008
395.64,"1,018.43","1,414.07",-667.19,"4,901.47","4,234.28",26-Jun-2008
305.71,976.11,"1,281.82",-703.11,"4,004.58","3,301.47",27-Jun-2008
724.18,587.97,"1,312.15",-208.66,"3,139.26","2,930.60",30-Jun-2008
162.50,622.68,785.18,209.43,"2,908.21","3,117.64",01-Jul-2008
421.01,608.31,"1,029.32",-668.43,"4,334.57","3,666.14",02-Jul-2008
526.10,590.78,"1,116.88",-606.92,"3,697.14","3,090.22",03-Jul-2008
-97.02,782.60,685.58,372.35,"2,541.35","2,913.70",04-Jul-2008
75.90,667.81,743.71,-439.57,"2,108.17","1,668.60",07-Jul-2008
427.27,436.46,863.73,-326.27,"2,199.94","1,873.67",08-Jul-2008
139.22,685.82,825.04,-435.54,"2,936.69","2,501.15",09-Jul-2008
-112.46,674.56,562.10,-551.67,"2,448.56","1,896.89",10-Jul-2008
214.74,719.00,933.74,-467.67,"2,721.29","2,253.62",11-Jul-2008
-63.25,686.89,623.64,-436.52,"2,291.82","1,855.30",14-Jul-2008
283.40,735.34,"1,018.74",-702.70,"3,001.63","2,298.93",15-Jul-2008
14.12,741.83,755.95,-229.00,"2,917.43","2,688.43",16-Jul-2008
168.02,828.14,996.16,310.45,"2,464.06","2,774.51",17-Jul-2008
